del r,delta x,VEC,delta H,delta S,omega,upper lamda,e1/a,Hardness
0.049517498,0.121763226,7.735,-4.504864,14.70354789,5283.66576,5996.595516,1.82,473
0.050757185,0.116570817,8.008,-5.034848,14.70354789,4618.000434,5707.252374,1.911,367
0.050006189,0.124051784,7.826,-5.564832,14.70354789,4266.914201,5879.963503,1.82,418
0.049517498,0.119375423,7.644,-3.908632,14.70354789,6103.238979,5996.595516,1.82,423
0.032018515,0.103069221,8.058,-6.400612,12.59405061,3567.981959,12284.65813,1.844,168
0.045839195,0.114755174,8.25,-10.625,11.52565132,1844.87304,5485.187971,2,225
0.012449912,0.100124922,8.75,4.75,11.52565132,4293.044272,74358.89205,1.5,143
0.012765102,0.098493106,8.78,4.352544,12.6070832,5134.724476,77368.82709,1.528,146
0.012740926,0.096409284,8.775,3.9375,13.07582603,5875.041693,80550.29466,1.55,150
0.012953846,0.09455471,8.805,3.575844,13.3203131,6603.140104,79381.07508,1.578,158
0.012688798,0.085862227,8.842,2.342008,12.98423751,9816.397582,80644.63115,1.668,175
0.009720197,0.03082207,9.5,5,11.52565132,3840.963642,121987.4936,1.75,154
0.010960253,0.056724267,9.344,4.53152,12.6070832,4716.435098,104947.8366,1.716,153
0.011636531,0.072187256,9.15,4.05,13.07582603,5545.573241,96565.52004,1.675,158
0.012454185,0.083643575,8.994,3.62952,13.3203131,6410.229693,85878.37918,1.641,161
0.013665917,0.10673988,8.344,2.23112,12.98423751,10702.29286,69524.66609,1.502,172
0.014085658,0.103047319,9,2.75,11.52565132,7370.20347,58091.31658,1.5,183
0.013924432,0.100624298,8.968,2.920736,12.6070832,7616.983716,65021.90141,1.528,182
0.013488201,0.09778516,8.9,3.0375,13.07582603,7592.656494,71872.22254,1.55,172
0.01330842,0.095225341,8.868,3.146436,13.3203131,7492.831316,75207.55345,1.578,171
0.011899049,0.084316046,8.676,3.229112,12.98423751,7148.33154,91704.77176,1.668,157
0.012740926,0.093791991,8.65,4.6125,13.07582603,5029.347523,80550.29466,1.55,170
0.012953846,0.093292675,8.742,3.8979,13.3203131,6066.116205,79381.07508,1.578,167
0.012688798,0.088670906,9.008,1.67668,12.98423751,13660.63467,80644.63115,1.668,158
0.013171695,0.097005511,8.141,-3.633336,11.47010569,5945.444945,66112.57901,1.735,140
0.012295185,0.093680307,8.6,-3.84,11.07573654,5316.122795,73265.99721,1.8,125
0.047987012,0.118135576,8.008,-11.369644,12.26773008,1832.62526,5327.418354,2.002,242
0.049152794,0.11954959,7.854,-11.715704,12.63646147,1829.330277,5230.329704,2.002,265
0.050386011,0.120638015,7.672,-12.02734,12.98423751,1827.875037,5114.421302,2.002,335
0.013303508,0.096781927,8.009,-3.450336,11.2760106,6173.560377,63712.28122,1.715,170
0.030788296,0.099872199,7.441,-4.947736,10.32886711,3908.554371,10896.35816,1.735,475
0.040206455,0.104383907,7.2,-6.96,10.92321615,2858.001437,6757.078524,1.8,620
0.051630158,0.121129713,7.462,-12.25588,13.25883768,1828.144449,4973.917176,2.002,503
0.053646205,0.119694037,7.038,-12.309696,13.3203131,1823.057131,4628.458996,2.004,555
0.054289483,0.117909923,6.85,-12.105,13.07582603,1813.263034,4436.471783,2,548
0.05480166,0.115844047,6.688,-11.898096,12.6070832,1779.28488,4197.852588,2.004,615
0.055251179,0.112805142,6.5,-11.5,11.52565132,1676.849471,3775.568718,2,720
0.05480166,0.122422637,6.876,-13.150928,12.6070832,1602.62516,4197.852588,2.004,550
0.054289483,0.122024332,6.975,-12.8925,13.07582603,1697.472193,4436.471783,2,539
0.050386011,0.116539447,7.506,-11.251124,12.98423751,1961.58564,5114.421302,2.002,532
0.057558189,0.119172012,7.44,-13.50888,12.6070832,1487.874187,3805.40051,2.192,438
0.056071972,0.119978904,7.35,-13.1175,13.07582603,1617.019646,4158.890354,2.125,476
0.05451258,0.120670006,7.29,-12.79278,13.3203131,1724.583835,4482.506873,2.067,510
0.048388199,0.118611689,7.008,-11.029348,12.98423751,2081.54292,5545.459477,1.836,617
0.056699803,0.131624466,7,-15.5,11.52565132,1228.740392,3585.109103,2,712
0.055850813,0.12925417,7.064,-14.761712,12.6070832,1420.844169,4041.621329,2.004,665
0.05496541,0.126383345,7.1,-13.905,13.07582603,1568.815367,4328.029322,2,587
0.053973574,0.123743287,7.164,-13.168512,13.3203131,1698.891941,4572.482766,2.004,558
0.049640065,0.111871275,7.34,-10.253132,12.98423751,2161.556562,5269.285984,2.002,510
0.046822691,0.107986922,6.959,-8.714136,11.2760106,2290.127316,5143.310392,1.865,655
0.051592664,0.110862863,6.741,-10.254936,11.47010569,1928.675355,4309.149059,1.935,695
0.060880285,0.114437756,5.8,-13.76,11.07573654,1227.658464,2988.266056,2.2,775
0.03228285,0.103900526,8.487,0.142884,14.44695461,174406.7069,13862.21324,1.683,185
0.045551658,0.115759621,7.982,-3.614752,14.858228,6782.931574,7160.752105,1.79,273
0.052197211,0.122964408,7.614,-6.231528,14.85995892,3812.232897,5454.098883,1.89,475
0.056288019,0.12727438,7.263,-8.08794,14.64227529,2801.740578,4621.43284,1.971,558
0.054092499,0.12500831,7.469,-7.067368,14.79069778,3301.986538,5054.923397,1.925,510
0.058708935,0.129792773,6.973,-9.37354,14.34587321,2304.600923,4162.158215,2.041,603
0.059499245,0.130386829,6.851,-9.745708,14.19820148,2166.710784,4010.609877,2.063,625
0.060235126,0.131120574,6.709,-10.269184,13.99608206,1999.792479,3857.508008,2.101,655
0.060586471,0.131475996,6.625,-10.5625,13.86327851,1910.586186,3776.718718,2.125,735
0.023942051,0.100789873,8.124,-5.024448,12.19036757,4486.801608,21266.40518,1.78,118
0.039685508,0.11018431,7.764,-8.214676,13.00729202,2825.714656,8258.914987,1.862,127
0.047762827,0.116456931,7.476,-10.592916,13.31282667,2179.085494,5835.66325,1.938,338
0.049832804,0.117965871,7.365,-11.210368,13.34655461,2039.715068,5374.505618,1.957,382
0.051473415,0.119377345,7.284,-11.805888,13.37407653,1924.869911,5047.749949,1.98,527
0.055422189,0.122537583,7.029,-13.211136,13.35139097,1670.744163,4346.695002,2.037,479
0.059959958,0.125974558,6.606,-14.9984,13.08728486,1376.223586,3640.213947,2.134,482
0.047988768,0.097376852,8.437,-4.989556,12.26773008,3914.809448,5327.028361,2.002,166
0.053227745,0.111462998,8.2,-5.28,13.3808668,3851.327714,4722.893147,2,536
0.055410112,0.118849705,8.048,-4.944688,12.57356108,3744.417764,4095.248316,2,531
0.054650309,0.115906467,8.103,-5.125536,13.14037807,3821.534743,4399.695439,1.998,545
0.051827497,0.107472919,8.281,-5.29984,13.25883768,3862.2466,4936.111748,2.002,366
0.050501921,0.103832526,8.341,-5.23378,12.98423751,3876.193941,5090.971336,2.002,249
0.033486405,0.106021217,7.932,-6.75202,12.70597385,3414.701973,11331.0698,1.822,110
0.038753846,0.109748357,7.815,-8.030572,12.97987971,2901.063368,8642.533049,1.861,131
0.048770865,0.117359629,7.437,-10.939084,13.34157981,2106.668621,5609.01174,1.951,388
0.051045538,0.118952306,7.302,-11.62186,13.36423356,1957.153175,5128.950232,1.972,538
0.055986633,0.122928024,6.984,-13.38056,13.33400196,1639.029895,4253.944429,2.044,487
0.027691835,0.103853981,8.764,0.131056,11.99130907,158092.4028,15637.34943,1.652,162
0.032261888,0.107524466,8.666,-0.8349,12.26882114,25212.05888,11787.5429,1.681,170
0.035792496,0.110358812,8.547,-1.69756,12.44649957,12450.24057,9715.457571,1.702,200
0.038736887,0.113164446,8.463,-2.517424,12.60587935,8450.190644,8400.859368,1.729,238
0.041238544,0.115548157,8.366,-3.2491,12.72617742,6558.006778,7483.268403,1.751,278
0.043572695,0.117669126,8.254,-3.981924,12.80605626,5330.549845,6745.071666,1.771,290
0.045484377,0.119604651,8.164,-4.625184,12.87636188,4579.823623,6223.987053,1.792,315
0.047227993,0.121409541,8.074,-5.243676,12.9309125,4026.13385,5797.358861,1.813,339
0.048625858,0.123062311,8.006,-5.782876,12.98423751,3647.829398,5491.384972,1.835,392
0.051223815,0.125751964,7.837,-6.814492,13.01382761,3056.493359,4959.766244,1.872,521
0.054092499,0.128968339,7.623,-8.06344,13.01574748,2536.921067,4448.309838,1.925,546
0.054834095,0.12977328,7.556,-8.392816,13.00467189,2421.230262,4325.118782,1.94,550
0.056288019,0.131255208,7.41,-9.074016,12.94800455,2199.985295,4086.682721,1.971,544
0.057373577,0.132512153,7.293,-9.651928,12.88982084,2038.10839,3915.822815,2.002,567
0.05830052,0.133475745,7.173,-10.147,12.81263634,1906.159975,3769.585853,2.03,576
0.059441789,0.134421783,6.994,-10.733676,12.66797014,1751.06045,3585.281781,2.065,593
0.05034092,0.124161186,7.6,-4,13.3808668,5359.398438,5280.097516,1.8,479
0.050942186,0.123244519,7.376,-2.669968,13.23097764,7868.933722,5098.433766,1.779,494
0.050648047,0.123840545,7.494,-3.405376,13.34655461,6252.521287,5202.87949,1.79,486
0.050064161,0.124163526,7.686,-4.495104,13.35139097,4768.452214,5326.876591,1.806,408
0.049738932,0.124038758,7.77,-4.90102,13.29047561,4365.538957,5372.143471,1.813,370
0.049553604,0.119909788,7.755,-8.313256,14.53880959,2907.344288,5920.772359,1.919,358
0.052229434,0.125319591,7.5,-8.92,14.53343194,2670.1613,5327.672815,1.9,586
0.048517048,0.120547416,7.423,-7.593812,14.53880959,3254.567444,6176.466919,1.836,601
0.048450568,0.115389676,7.777,-7.683984,14.23819458,3101.166156,6065.368196,1.925,295
0.05594775,0.114536316,7.881,-8.673984,13.14037807,2327.162234,4198.001728,2.109,584
0.048450568,0.118923674,7.931,-8.442896,14.23819458,2812.099266,6065.368196,1.925,310
0.049553604,0.117874415,7.672,-7.870036,14.53880959,3077.165616,5920.772359,1.919,451
0.053080027,0.118558003,7.7,-8.32,14.53343194,2798.263841,5158.291787,2,546
0.046611641,0.120038498,7.315,-7.209664,14.23819458,3430.492197,6553.39175,1.771,607
0.049156806,0.115724747,7.589,-7.178148,14.53880959,3380.996489,6016.744008,1.919,537
0.047749119,0.111606019,7.623,-6.498184,14.23819458,3681.581877,6244.88138,1.925,514
0.051692908,0.119503138,7.3,-7.28,14.53343194,3288.190972,5438.839561,1.9,604
0.052667839,0.116933182,6.993,-6.111216,13.14037807,3518.686122,4737.147081,1.887,639
0.052667839,0.124087036,7.215,-7.688304,13.14037807,2781.84103,4737.147081,1.887,534
0.058988282,0.128129376,6.853,-11.62084,14.23819458,1893.103445,4091.885051,2.079,609
0.051692908,0.12239281,7.4,-7.92,14.53343194,3015.193504,5438.839561,1.9,551
0.040758885,0.11604442,8.103,-0.591408,13.14037807,37210.37904,7909.759399,1.665,382
0.055188861,0.128370895,7.189,-6.227312,13.25883768,3284.978174,4353.139515,1.911,573
0.057782006,0.13027655,6.844,-7.667972,12.98423751,2527.628123,3888.939744,2.001,651
0.037324245,0.077060758,8.547,-6.071296,10.68829397,3004.275723,7672.313122,2.079,135
0.048457627,0.097145702,8.151,-9.488336,11.24165271,1956.525687,4787.468024,2.145,205
0.054897237,0.109423034,7.809,-11.962668,11.47010569,1537.709051,3805.979502,2.202,380
0.03771091,0.108064795,8.33,-5.1292,13.91491931,4700.526044,9784.681143,1.83,280
0.053861257,0.124497229,7.1,-9.5704,14.47017004,2476.756693,4987.933635,1.92,580
0.045833016,0.118574357,6.617,-12.127472,8.15713333,1243.288475,3883.118853,1.613,371
0.042103985,0.105021558,7.116,-7.451136,10.4339009,2525.852114,5885.729613,1.824,450
0.032931363,0.100595052,7.379,-5.493376,9.832749244,3329.48577,9066.831898,1.752,304
0.062149368,0.127322173,6.237,-16.12688,12.63646147,1185.087587,3271.538615,2.233,695
0.062790877,0.127129839,6.006,-16.440996,12.26773008,1097.718135,3111.50942,2.288,740
0.038736887,0.109395235,8.281,-1.523704,14.70354789,16354.10545,9798.795831,1.729,207
0.057373577,0.128520809,7.15,-8.670376,14.53798898,2568.463573,4416.5229,2.002,576
0.051486771,0.129522199,7.8,-6.56,13.3808668,3250.383887,5047.693058,1.8,415
0.055934686,0.12531605,7.174,-10.1698,14.53880959,2282.282752,4646.933255,2.002,602
0.012834184,0.092217135,8.8,3.2,13.3808668,7397.168971,81235.85059,1.6,155
0.012985027,0.096695398,8.25,-3.75,11.52565132,5753.067274,68356.49366,1.75,139
0.059042595,0.117553179,7.5,-13.75,11.52565132,1307.798891,3306.241709,2.25,430
0.052921075,0.120565335,7.2,-12.32,13.3808668,1829.175353,4777.788686,2,516
0.057053203,0.10926715,5.55,-10.8576,11.67272604,1634.861415,3586.016121,2.04,764
0.063749635,0.13757259,6.489,-15.201024,12.75804952,1177.439546,3139.271546,2.285,591
0.063749635,0.135334861,6.418,-14.714532,12.75804952,1218.811982,3139.271546,2.285,701
0.06150958,0.128896761,6.532,-9.363828,13.19634917,1991.568479,3487.934123,2.2,768
0.062687801,0.129371128,6.083,-12.545764,12.68077553,1402.852626,3226.857167,2.31,702
0.061919999,0.132163471,6.211,-13.883428,13.0781662,1353.794994,3411.025544,2.215,720
0.06135588,0.128799406,6.139,-12.710692,13.0781662,1481.886692,3474.037228,2.215,694
0.035741145,0.113066831,8.122,-8.352016,10.15170207,2186.532171,7946.976855,1.839,149
0.042857139,0.117994274,7.881,-10.152504,10.58168347,1831.255748,5761.139848,1.887,229
0.043217178,0.12708265,8.07,-3.372,12.35991303,6139.246144,6617.632015,1.63,459
0.04181558,0.127325724,8.03,-3.2908,12.12254125,6259.719219,6932.939829,1.6,469
0.041935627,0.127415658,8.02,-3.6748,12.08682266,5601.277277,6872.99244,1.61,483
0.038213202,0.125872952,8.05,-0.69,11.97739821,29829.18081,8202.299738,1.5,472
0.03808551,0.125778337,8.06,-0.3116,11.97407172,65892.33295,8255.099265,1.49,454
0.038339173,0.125967416,8.04,-1.0716,11.97407172,19242.98806,8146.224566,1.51,441
0.039854165,0.125460113,8.26,-0.4384,12.14503408,46223.79469,7646.299606,1.53,495
0.039876912,0.124276909,8.26,-0.1836,12.39564179,112457.3672,7795.177118,1.54,477
0.040176876,0.124902962,8.26,-1.0676,12.28797276,19247.59233,7612.510546,1.56,469
0.057932783,0.117761581,5.99,-14.7756,11.76321551,1291.727583,3504.913229,2,699
0.061394154,0.123113931,5.76,-12.972,12.45856539,1364.052904,3305.323748,2.27,728
0.061482354,0.122792508,6.46,-9.5856,12.5446226,1897.637085,3318.613075,2.23,604
0.057457917,0.117954695,6.02,-11.2476,12.87587286,1798.850654,3900.110576,1.99,790
0.062657984,0.125332199,5.94,-16.1192,12.19467449,1114.071409,3106.113871,2.28,806
0.062233196,0.127807472,5.9,-13.8556,12.65007878,1283.598626,3266.246947,2.3,811
0.061871672,0.122347865,5.82,-15.8264,11.96254503,1125.465253,3124.927059,2.24,855
0.057915196,0.115337071,5.82,-11.8048,12.45890872,1636.311243,3714.453627,2.03,802
0.062038848,0.127117072,5.87,-13.7944,12.63557378,1291.558734,3282.974533,2.29,799
0.061326778,0.120702278,5.75,-15.7968,11.69039279,1110.407557,3108.342071,2.21,857
0.060501736,0.120268699,5.66,-12.7424,12.26719959,1382.307297,3351.272673,2.23,855
0.062027454,0.123874574,5.85,-16.2044,11.92031266,1094.406212,3098.273337,2.24,816
0.059748648,0.118323117,5.63,-12.686,12.10689624,1392.769956,3391.381515,2.18,811
0.060101121,0.120398463,5.77,-12.7644,12.51175278,1443.279458,3463.801556,2.17,790
0.060796557,0.118075357,5.68,-15.43,11.57156587,1131.726215,3130.647441,2.19,855
0.060634922,0.116345348,5.65,-15.0296,11.59074607,1164.771498,3152.577272,2.19,856
0.060296435,0.119743852,5.64,-12.7484,12.20738242,1378.452904,3357.679792,2.22,859
0.061564174,0.121995738,5.77,-16.174,11.28304923,1046.099322,2976.942015,2.21,875
0.061302076,0.120522653,5.73,-15.9564,11.16581637,1052.50863,2971.256328,2.2,868
0.060122065,0.118498059,5.62,-12.382,12.25112205,1425.179301,3389.285006,2.22,843
0.061110166,0.123002886,5.93,-12.7712,12.824801,1468.455983,3434.185143,2.21,794
0.058179164,0.113802416,5.67,-11.8868,12.14292996,1553.992146,3587.472089,2.07,783
0.05961686,0.116675447,5.57,-12.2024,12.14343416,1441.216172,3416.672244,2.2,797
0.060209346,0.119123633,5.63,-12.5656,12.23661705,1402.274089,3375.464503,2.22,805
0.056593247,0.120520704,6.29,-14.2836,11.96328125,1393.895555,3735.262167,1.95,699
0.059924045,0.121102271,5.77,-10.0056,12.42058893,1749.907249,3458.915482,2.22,749
0.060199927,0.119943153,5.82,-12.392,12.63648027,1507.501504,3486.857456,2.17,828
0.061646402,0.124355297,5.78,-13.4176,12.28746069,1299.823153,3233.304992,2.27,849
0.061218322,0.124268862,5.74,-13.806,11.92869237,1235.192853,3182.951326,2.24,883
0.061533904,0.12039103,5.77,-15.4592,11.92259407,1152.165566,3148.776403,2.23,864
0.061363903,0.123405186,5.75,-13.2536,12.29755374,1320.810865,3265.823988,2.26,841
0.061302076,0.120522653,5.73,-15.9564,11.16581637,1052.50863,2971.256328,2.2,868
0.061326778,0.119795659,5.73,-15.6344,11.48136993,1102.464649,3052.765278,2.21,882
0.061142744,0.11932858,5.71,-15.6476,11.38997648,1095.452221,3046.723075,2.2,883
0.061509604,0.121131788,5.77,-15.7812,11.76758611,1116.093115,3110.294542,2.22,828
0.06077101,0.118315637,5.67,-15.6716,11.15873528,1076.823437,3021.496252,2.18,848
0.060931839,0.123244919,5.71,-13.6404,11.93307018,1254.251725,3214.131317,2.23,878
0.062590283,0.125196286,5.88,-16.6124,11.05868118,987.5334262,2822.861102,2.25,782
0.061564174,0.121551429,5.76,-16.094,11.15873528,1039.991562,2944.142775,2.21,865
0.061500886,0.122888201,5.78,-14.8094,11.90457575,1179.676625,3147.394442,2.225,851.5
0.035753097,0.107696816,7.899,-7.30222,12.83522207,3181.260014,10040.97872,1.841,117
0.045572802,0.114520064,7.551,-9.82142,13.23097764,2352.261338,6370.602101,1.909,228
0.048621282,0.119255518,7.849,-4.796908,14.90983699,5075.770692,6306.960035,1.837,458
0.060702803,0.126684042,6.51,-15.464868,12.98423751,1310.797553,3523.700279,2.168,581.7
0.054650309,0.113682439,7.992,-4.534128,13.14037807,4332.766875,4399.695439,1.998,430.9
0.053813465,0.112352612,8.118,-5.028608,13.34655461,4006.762823,4608.793586,1.998,420
0.051827497,0.109054707,8.372,-5.697328,13.25883768,3584.38005,4936.111748,2.002,323.8
0.050501921,0.10655742,8.507,-5.899108,12.98423751,3424.513944,5090.971336,2.002,299.2
0.047988768,0.101626896,8.723,-5.971108,12.26773008,3247.951756,5327.028361,2.002,279.6
0.052700933,0.11892855,7.84,-12.4768,12.42935973,1644.304632,4475.196904,2.08,305.4
